Timestamp,Duration(s)
1495501803,5445
1495502402,5458
1495503001,5436
1495503602,5468
1495504202,5302
1495504803,5363
1495505402,5308
1495506003,5271
1495506602,5305
1495507202,5242
1495507802,5267
1495508401,5273
1495509002,5326
1495509602,5290
1495510202,5291
1495510803,5317
1495511402,5252
1495512003,5230
1495512602,5236
1495513201,5300
1495513802,5329
1495514402,5245
1495515002,5308
1495515602,5559
1495516202,5330
1495516802,5303
1495517403,5289
1495518002,5265
1495518601,5325
1495519202,5275
1495519802,5292
1495520402,5315
1495521002,5234
1495521602,5203
1495522202,5197
1495522803,5174
1495523402,5181
1495524003,5130
1495524602,5123
1495525202,5057
1495525802,5095
1495526404,5204
1495527002,5164
1495527602,5119
1495528202,5156
1495528802,5225
1495529403,5487
1495530003,5451
1495530602,5617
1495531203,5641
1495531803,5985
1495532402,5959
1495533002,6215
1495533603,6411
1495534202,6601
1495534802,6869
1495535402,7056
1495536003,7180
1495536602,7163
1495537202,7386
1495537803,7466
1495538402,7377
1495539002,7325
1495539603,7215
1495540202,7170
1495540802,7168
1495541402,7014
1495542002,6984
1495542603,6894
1495543202,6837
1495543802,6617
1495544402,6403
1495545002,6189
1495545602,6193
1495546202,6171
1495546803,6084
1495547402,6063
1495548003,6050
1495548603,6064
1495549202,6085
1495549803,6008
1495550402,6103
1495551002,6195
1495551603,6240
1495552203,6016
1495552802,6228
1495553402,6449
1495554002,6256
1495554603,5678
1495555204,5606
1495555802,5746
1495556402,5637
1495557003,5699
1495557603,5780
1495558202,5719
1495558802,5837
1495559403,5730
1495560005,5781
1495560602,5824
1495561202,5809
1495561802,5784
1495562402,5849
1495563002,5985
1495563603,6033
1495564203,6077
1495564802,6147
1495565402,6165
1495566001,6147
1495566603,6413
1495567201,6441
1495567802,6555
1495568402,6570
1495569002,6242
1495569603,6097
1495570202,6116
1495570802,6154
1495571404,6100
1495572002,6283
1495572603,6455
1495573204,6174
1495573802,6070
1495574402,5987
1495575002,6446
1495575602,6751
1495576202,6524
1495576803,5841
1495577403,5699
1495578002,5582
1495578602,5646
1495579202,5589
1495579803,5452
1495580403,5380
1495581003,5384
1495581602,5347
1495582201,5412
1495582803,5410
1495583402,5487
1495584002,5500
1495584602,5514
1495585203,5529
1495585803,5553
1495586402,5615
1495587002,5585
1495587603,5554
1495588203,5486
1495588803,5617
1495589404,5539
1495590003,5562
1495590603,5636
1495591203,5606
1495591803,5479
1495592402,5543
1495593001,5510
1495593602,5933
1495594203,7361
1495594802,7033
1495595402,5788
1495596001,5762
1495596603,5959
1495597202,5711
1495597803,6421
1495598402,6669
1495599002,7060
1495599601,7020
1495600202,6886
1495600802,6434
1495601402,6566
1495602003,6585
1495602602,6957
1495603202,6346
1495603803,6307
1495604403,6173
1495605003,5976
1495605603,5623
1495606203,5516
1495606803,5344
1495607403,5306
1495608003,5401
1495608603,5424
1495609203,5119
1495609803,5225
1495610403,5336
1495611003,5199
1495611603,5129
1495612202,5141
1495612802,5363
1495613403,5974
1495614002,7202
1495614603,5460
1495615202,5318
1495615802,5512
1495616403,5658
1495617002,5685
1495617603,5896
1495618204,6021
1495618803,5964
1495619402,6164
1495620002,6321
1495620603,6447
1495621202,6689
1495621803,6853
1495622402,6962
1495623003,7077
1495623602,7246
1495624202,7208
1495624802,7231
1495625402,7136
1495626002,6994
1495626602,6992
1495627202,6936
1495627803,6826
1495628402,6683
1495629002,6701
1495629603,6963
1495630203,6655
1495630803,6460
1495631402,6349
1495632003,6343
1495632604,6288
1495633203,6221
1495633803,6261
1495634403,6321
1495635002,6364
1495635603,6029
1495636204,5991
1495636803,5861
1495637403,6004
1495638004,5852
1495638603,6149
1495639802,6023
1495640402,5859
1495641002,5977
1495641603,6201
1495642203,6133
