Timestamp,Duration(s)
1495552203,6073
1495552803,5956
1495553403,6015
1495554003,6143
1495554603,6202
1495555205,6537
1495555803,6468
1495556403,6414
1495557004,6360
1495557603,6143
1495558203,6058
1495558803,6167
1495559404,6243
1495560603,6265
1495561204,6227
1495561803,6340
1495562402,6274
1495563003,6320
1495563603,6312
1495564203,6332
1495564802,6377
1495565402,6474
1495566002,6447
1495566603,6660
1495567202,6907
1495567802,6632
1495568402,6641
1495569002,6998
1495569602,6925
1495570202,7051
1495570803,7195
1495571404,7669
1495572002,7503
1495572603,7372
1495573204,7496
1495573802,7271
1495574402,7186
1495575001,7089
1495575602,6972
1495576203,6898
1495576803,6750
1495577403,6697
1495578003,6576
1495578602,6365
1495579202,6404
1495579803,6113
1495580403,6025
1495581003,5825
1495581603,5729
1495582202,5664
1495582803,5560
1495583403,5604
1495584003,5446
1495584603,5523
1495585203,5442
1495585803,5378
1495586403,5458
1495587002,5464
1495587604,5408
1495588203,5426
1495588804,5412
1495589404,5343
1495590004,5380
1495590603,5385
1495591203,5464
1495591804,5445
1495592402,5392
1495593003,5428
1495593603,5359
1495594204,5425
1495594803,5350
1495595403,5414
1495596002,5354
1495596604,5807
1495597202,5554
1495597804,5490
1495598403,5516
1495599004,5497
1495599602,5421
1495600203,5544
1495600802,5493
1495601402,5467
1495602004,5499
1495602602,5509
1495603203,5487
1495603804,5436
1495604403,5402
1495605004,5353
1495605603,5367
1495606204,5383
1495606803,5453
1495607404,5423
1495608004,5300
1495608603,5417
1495609204,5402
1495609804,5332
1495610404,5535
1495611003,5437
1495611604,5311
1495612203,5351
1495612803,5327
1495613404,5215
1495614003,5219
1495614604,5246
1495615203,5337
1495615803,5341
1495616403,5288
1495617003,5295
1495617603,5322
1495618204,5347
1495618804,5216
1495619403,5298
1495620003,5250
1495620603,5205
1495621203,5227
1495621804,5287
1495622403,5256
1495623003,5381
1495623602,5462
1495624203,5530
1495624802,5734
1495625403,5803
1495626002,5855
1495626602,5789
1495627202,5853
1495627803,5856
1495628402,6224
1495629002,5927
1495629603,6068
1495630203,6100
1495630804,6084
1495631402,6296
1495632003,5987
1495632604,6101
1495633203,6126
1495633803,6081
1495634404,6030
1495635003,5929
1495635603,5989
1495636204,5937
1495636803,6071
