Timestamp,Duration(s)
1498927803,1121
1498928403,1070
1498929002,1113
1498929602,1149
1498930203,1188
1498930803,1142
1498931402,1046
1498932003,1005
1498932602,1103
1498933202,1040
1498933801,1100
1498934403,1000
1498935002,976
1498935602,954
1498936203,1036
1498936802,1037
1498937401,1176
1498938002,1098
1498938603,1101
1498939203,1054
1498939802,1059
1498940402,1053
1498941002,1010
1498941603,961
1498942203,967
1498942804,978
1498943402,1054
1498944002,983
1498944601,931
1498945203,908
1498945803,974
1498946404,915
1498947002,911
1498947603,976
1498948203,942
1498948803,960
1498949402,929
1498950004,936
1498950602,948
1498951203,1013
1498951803,987
1498952402,966
1498953002,972
1498953604,944
1498954202,958
1498954802,1008
1498955403,903
1498956001,980
1498956602,933
1498957201,944
1498957802,1004
1498958402,921
1498959002,900
1498959601,1133
1498960202,1097
1498960803,910
1498961401,938
1498962002,879
1498962603,913
1498963202,882
1498963803,892
1498964403,924
1498965001,890
1498965602,955
1498966201,921
1498966803,954
1498967403,918
1498968003,962
1498968601,901
1498969202,901
1498969803,869
1498970401,866
1498971003,875
1498971602,874
1498972202,837
1498972801,831
1498973403,862
1498974001,920
1498974602,847
1498975203,877
1498975801,878
1498976401,882
1498977003,840
1498977602,839
1498978202,841
1498978804,836
1498979402,861
1498980002,864
1498980603,868
1498981203,824
1498981802,830
1498982403,852
1498983003,862
1498983602,859
1498984202,832
1498984803,851
1498985402,865
1498986004,847
1498986603,840
1498987203,816
1498987801,857
1498988402,801
1498989001,810
1498989603,794
1498990202,814
1498990803,824
1498991403,809
1498992002,875
1498992603,812
1498993203,840
1498993802,808
1498994402,812
1498995003,826
1498995603,839
1498996202,834
1498996801,838
1498997403,827
1498998003,836
1498998603,832
1498999203,877
1498999802,862
1499000404,837
1499001003,833
1499001602,849
1499002203,842
1499002801,856
1499003402,885
1499004003,860
1499004603,893
1499005201,961
1499005804,1013
1499006402,903
1499007003,877
1499007603,908
1499008202,895
1499008803,902
1499009403,891
1499010002,906
1499010602,918
1499011203,985
1499011802,945
1499012403,900
1499013002,935
1499013602,886
1499014202,921
1499014803,916
1499015402,922
1499016002,990
1499016603,973
1499017202,932
1499017802,920
1499018404,895
1499019002,931
1499019602,934
1499020203,909
1499020802,926
1499021403,873
1499022002,880
1499022601,966
1499023202,973
1499023804,901
1499024402,907
1499025003,898
1499025604,980
1499026202,935
1499026803,908
1499027403,902
1499028003,953
1499028602,1003
1499029203,898
1499029802,923
1499030402,918
1499031003,907
1499031602,979
1499032201,860
1499032801,898
1499033402,903
1499034003,871
1499034603,865
1499035202,931
1499035803,873
1499036403,881
1499037001,918
1499037603,900
1499038204,909
1499038803,906
1499039403,915
1499040003,883
1499040601,944
1499041203,916
1499041803,894
1499042403,901
1499043003,890
1499043603,937
1499044202,933
1499044803,951
1499045403,907
1499046002,957
1499046602,906
1499047202,938
1499047802,906
1499048402,898
1499049003,920
1499049603,887
1499050202,880
1499050803,900
1499051401,904
1499052002,899
1499052602,956
1499053202,878
1499053802,901
1499054404,874
1499055002,878
1499055602,843
1499056203,837
1499056802,854
1499057402,834
1499058003,837
1499058602,841
1499059201,851
1499059801,842
1499060403,852
1499061003,865
1499061603,881
1499062202,851
1499062802,855
1499063402,857
1499064002,859
1499064601,859
1499065204,857
1499065802,866
1499066402,862
1499067001,835
1499067602,836
1499068202,860
1499068803,876
1499069401,842
1499070002,838
1499070604,846
1499071202,873
1499071803,877
1499072404,843
1499073002,850
1499073602,858
1499074203,875
1499074802,870
1499075402,884
1499076003,854
1499076603,932
1499077203,922
1499077803,934
1499078402,947
1499079003,1004
1499079602,939
1499080202,954
1499080803,942
1499081403,948
1499082002,945
1499082603,941
1499083204,936
1499083803,924
1499084403,953
1499085004,915
1499085603,995
1499086203,940
1499086802,1001
1499087402,1014
1499088002,979
1499088603,1056
1499089203,1017
1499089803,955
1499090402,960
1499091002,926
1499091603,956
1499092203,987
1499092802,943
1499093402,973
1499094001,1017
1499094603,1051
1499095202,1008
1499095804,979
1499096402,956
1499097003,1015
1499097603,947
1499098202,963
1499098803,999
1499099403,1006
1499100002,1054
1499100602,1059
1499101203,1097
1499101803,1031
1499102403,1166
1499103004,1111
1499103602,1144
1499104203,1094
1499104802,1100
1499105403,993
1499106002,1079
1499106602,1137
1499107203,1069
1499107802,1063
1499108403,1050
1499109002,1138
1499109602,1100
1499110204,1145
1499110803,1009
1499111402,1048
1499112003,1047
1499112603,1023
1499113202,1036
1499113802,1078
1499114402,1033
1499115002,1095
1499115602,1119
1499116201,1131
1499116802,1081
1499117403,1019
1499118003,1039
1499118603,1019
1499119202,994
1499119801,937
1499120403,903
1499121002,908
1499121602,952
1499122202,915
1499122802,952
1499123402,898
1499124001,886
1499124603,939
1499125203,914
1499125802,910
1499126402,894
1499127002,897
1499127602,874
1499128203,919
1499128803,913
1499129403,919
1499130003,920
1499130602,900
1499131201,900
1499131803,896
1499132402,897
1499133002,885
1499133601,910
1499134202,897
1499134803,896
1499135401,927
1499136003,866
1499136602,895
1499137204,912
1499137802,895
1499138402,873
1499139003,912
1499139602,890
1499140203,862
1499140803,885
1499141403,878
1499142002,858
1499142603,856
1499143201,941
1499143802,879
1499144403,866
1499145003,842
1499145603,876
1499146204,829
1499146803,843
1499147402,847
1499148004,848
1499148602,905
1499149202,868
1499149803,887
1499150403,874
1499151002,859
1499151604,825
1499152203,851
1499152803,839
1499153404,831
1499154003,830
1499154603,825
1499155203,848
1499155803,852
1499156402,864
1499157003,853
1499157601,872
1499158203,871
1499158804,885
1499159402,852
1499160002,881
1499160602,881
1499161202,863
1499161802,874
1499162403,879
1499163003,894
1499163602,900
1499164203,889
1499164802,924
1499165402,936
1499166003,965
1499166602,926
1499167202,920
1499167803,912
1499168401,905
1499169002,863
1499169605,821
1499170203,826
1499170803,853
1499171404,884
1499172003,873
1499172603,843
1499173201,826
1499173803,841
1499174402,820
1499175003,824
1499175602,837
1499176203,849
1499176804,860
1499177402,860
1499178002,852
1499178604,885
1499179203,884
1499179801,884
1499180404,888
1499181003,892
1499181602,863
1499182202,856
1499182801,840
1499183402,889
1499184004,846
1499184601,891
1499185202,922
1499185804,887
1499186403,881
1499187003,889
1499187601,902
1499188202,882
1499188803,922
1499189403,915
1499190003,897
