Timestamp,Duration(s)
1498927803,10123
1498928403,10297
1498929002,10215
1498929602,10041
1498930203,10093
1498930803,10037
1498931402,10075
1498932003,10026
1498932602,10104
1498933202,9990
1498933801,9993
1498934403,10046
1498935001,9947
1498935602,9960
1498936203,10055
1498936802,10026
1498937402,9866
1498938001,9779
1498938603,9683
1498939204,9909
1498939802,9776
1498940402,9885
1498941002,9730
1498941603,9488
1498942202,9356
1498942803,9566
1498943402,9244
1498944002,9291
1498944602,9236
1498945203,9290
1498945803,9377
1498946404,9119
1498947002,8854
1498947602,8756
1498948203,8850
1498948803,9067
1498949401,8870
1498950004,8921
1498950602,9082
1498951203,9232
1498951803,9235
1498952402,9127
1498953001,9218
1498953604,9194
1498954201,9122
1498954803,8995
1498955403,8856
1498956002,8911
1498956603,8740
1498957202,8758
1498957802,8782
1498958401,8695
1498959002,8673
1498959602,8622
1498960201,8701
1498960803,8697
1498961401,8694
1498962002,8580
1498962603,8597
1498963202,8544
1498963802,8551
1498964403,8582
1498965002,8524
1498965602,8589
1498966202,8564
1498966803,8548
1498967403,8546
1498968003,8551
1498968602,8481
1498969202,8420
1498969803,8434
1498970402,8398
1498971002,8398
1498971602,8287
1498972202,8326
1498972802,8404
1498973403,8303
1498974002,8360
1498974602,8378
1498975203,8328
1498975802,8418
1498976401,8335
1498977002,8350
1498977602,8308
1498978202,8242
1498978804,8369
1498979402,8370
1498980002,8253
1498980604,8283
1498981202,8258
1498981802,8215
1498982403,8228
1498983003,8272
1498983602,8301
1498984202,8426
1498984803,8229
1498985401,8155
1498986004,8087
1498986602,8063
1498987203,8051
1498987802,8007
1498988402,7941
1498989001,7938
1498989603,7934
1498990202,7989
1498990802,7918
1498991404,7986
1498992003,7999
1498992603,7951
1498993203,8060
1498993801,8073
1498994402,8028
1498995003,8065
1498995603,8152
1498996202,8091
1498996802,8152
1498997403,8132
1498998003,8171
1498998603,8200
1498999203,8182
1498999802,8240
1499000404,8245
1499001002,8312
1499001602,8348
1499002204,8539
1499002801,8768
1499003402,8813
1499004003,8863
1499004603,8885
1499005201,8957
1499005804,8890
1499006402,9046
1499007003,9078
1499007602,9087
1499008201,9455
1499008802,9620
1499009403,9674
1499010002,9708
1499010603,9727
1499011203,9563
1499011802,9446
1499012402,9455
1499013001,9449
1499013602,9599
1499014203,9725
1499014803,9591
1499015402,9674
1499016002,9420
1499016603,9395
1499017202,9582
1499017802,9704
1499018404,9742
1499019002,9507
1499019602,9533
1499020203,9299
1499020802,9259
1499021403,9509
1499022001,9370
1499022602,9352
1499023203,9251
1499023804,9367
1499024401,9033
1499025002,8767
1499025603,8839
1499026203,9021
1499026802,8971
1499027403,9068
1499028002,8789
1499028603,8771
1499029203,8689
1499029802,8668
1499030402,8483
1499031001,8592
1499031602,8685
1499032201,8526
1499032802,8548
1499033402,8518
1499034002,8433
1499034603,8464
1499035202,8531
1499035803,8701
1499036402,8737
1499037002,8746
1499037603,8568
1499038203,8568
1499038803,8560
1499039403,8563
1499040003,8563
1499040601,8610
1499041203,8540
1499041803,8634
1499042402,8518
1499043003,8539
1499043603,8658
1499044201,8605
1499044803,8618
1499045403,8670
1499046002,8660
1499046601,8617
1499047202,8552
1499047801,8561
1499048401,8619
1499049003,8659
1499049602,8575
1499050202,8639
1499050803,8646
1499051402,8551
1499052002,8607
1499052601,8554
1499053201,8530
1499053802,8529
1499054404,8438
1499055003,8497
1499055602,8436
1499056203,8514
1499056802,8400
1499057401,8537
1499058002,8435
1499058602,8445
1499059201,8401
1499059801,8435
1499060402,8537
1499061003,8409
1499061603,8444
