Timestamp,Duration(s)
1498927803,2343
1498928403,2491
1498929002,2357
1498929602,2394
1498930203,2353
1498930803,2469
1498931402,2586
1498932003,2603
1498932602,2663
1498933202,2755
1498933802,2659
1498934403,2834
1498935002,2784
1498935602,2957
1498936203,2912
1498936802,3194
1498937402,3083
1498938001,2965
1498938603,2895
1498939204,2784
1498939802,2666
1498940402,2813
1498941002,2741
1498941602,2688
1498942202,2659
1498942803,2607
1498943402,2566
1498944002,2582
1498944602,2621
1498945203,2511
1498945803,2542
1498946403,2566
1498947002,2462
1498947603,2588
1498948204,2663
1498948803,2481
1498949401,2435
1498950004,2696
1498950602,2626
1498951203,2846
1498951803,2962
1498952402,2685
1498953002,2628
1498953603,2837
1498954202,2672
1498954803,2481
1498955403,2464
1498956002,2360
1498956602,2278
1498957201,2322
1498957802,2215
1498958401,2160
1498959002,2090
1498959602,2137
1498960202,2106
1498960802,2058
1498961401,2066
1498962002,2108
1498962603,2111
1498963202,2152
1498963802,2195
1498964403,2033
1498965002,2001
1498965602,2077
1498966202,1999
1498966803,2098
1498967403,1901
1498968003,1897
1498968602,1819
1498969202,1788
1498969802,1878
1498970401,1762
1498971002,1743
1498971602,1772
1498972202,1849
1498972801,1774
1498973403,1766
1498974002,1766
1498974602,1807
1498975203,1848
1498975802,1807
1498976401,1829
1498977003,1848
1498977602,1819
1498978202,1828
1498978804,1940
1498979402,1780
1498980002,1798
1498980603,1741
1498981202,1740
1498981802,1769
1498982403,1775
1498983003,1735
1498983602,1674
1498984202,1672
1498984803,1689
1498985401,1711
1498986004,1764
1498986603,1729
1498987202,1723
1498987802,1707
1498988402,1722
1498989001,1740
1498989603,1781
1498990202,1805
1498990802,1780
1498991404,1834
1498992003,1791
1498992603,1835
1498993204,1907
1498993802,1913
1498994402,2142
1498995003,1943
1498995602,1886
1498996202,1889
1498996802,1802
1498997403,1785
1498998003,1804
1498998603,1851
1498999203,1906
1498999802,1812
1499000404,1839
1499001002,1831
1499001602,1869
1499002204,1935
1499002801,1976
1499003402,1888
1499004002,1941
1499004603,1874
1499005201,1952
1499005804,2041
1499006402,2089
1499007003,2070
1499007603,1987
1499008202,2121
1499008803,2002
1499009403,2088
1499010002,2075
1499010602,2028
1499011203,1989
1499011802,2025
1499012403,2075
1499013002,2036
1499013602,1978
1499014203,2015
1499014803,2165
1499015402,2238
1499016002,2185
1499016603,2115
1499017202,2123
1499017802,2238
1499018404,2248
1499019002,2174
1499019602,2236
1499020203,2397
1499020802,2429
1499021403,2510
1499022002,2597
1499022602,2569
1499023202,2636
1499023804,2596
1499024402,2626
1499025003,2702
1499025604,2782
1499026202,2549
1499026803,2591
1499027403,2483
1499028003,2469
1499028602,2481
1499029203,2579
1499029802,2535
1499030402,2438
1499031003,2489
1499031602,2590
1499032201,2506
1499032802,2684
1499033402,2855
1499034002,2730
1499034603,2803
1499035202,2681
1499035802,2819
1499036403,2557
1499037002,2927
1499037603,2677
