Timestamp,Duration(s)
1498927803,9743
1498928403,9701
1498929002,9618
1498929602,9527
1498930203,9487
1498930803,9630
1498931402,9674
1498932003,9693
1498932602,9967
1498933202,9781
1498933802,9771
1498934403,9991
1498935002,9940
1498935602,9917
1498936203,9952
1498936802,10046
1498937402,10020
1498938002,10040
1498938603,10047
1498939204,10150
1498939802,9983
1498940402,9936
1498941002,9926
1498941603,9787
1498942203,9699
1498942803,9674
1498943402,9543
1498944002,9690
1498944602,9550
1498945203,9442
1498945803,9327
1498946403,9410
1498947002,9418
1498947602,9268
1498948203,9174
1498948803,9045
1498949401,8952
1498950004,8975
1498950602,8864
1498951202,8898
1498951803,8993
1498952402,9059
1498953002,9083
1498953603,9062
1498954202,8759
1498954803,8747
1498955403,8723
1498956002,8729
1498956603,8761
1498957202,8710
1498957802,8675
1498958402,8638
1498959002,8657
1498959602,8671
1498960202,8698
1498960803,8643
1498961401,8538
1498962002,8534
1498962603,8645
1498963202,8698
1498963803,8651
1498964403,8538
1498965002,8502
1498965602,8425
1498966202,8372
1498966802,8426
1498967403,8441
1498968003,8441
1498968602,8390
1498969202,8336
1498969803,8341
1498970402,8312
1498971003,8292
1498971602,8266
1498972202,8236
1498972802,8255
1498973403,8269
1498974002,8224
1498974602,8208
1498975203,8186
1498975802,8201
1498976401,8179
1498977003,8117
1498977602,8080
1498978202,8048
1498978804,8030
1498979402,8024
1498980002,8003
1498980603,7990
1498981202,7982
1498981802,7935
1498982403,7913
1498983003,7878
1498983602,7841
1498984202,7803
1498984803,7786
1498985402,7795
1498986004,7790
1498986602,7774
1498987203,7755
1498987802,7755
1498988402,7761
1498989001,7765
1498989602,7810
1498990202,7787
1498990803,7757
1498991403,7784
1498992003,7778
1498992603,7808
1498993204,7823
1498993802,7879
1498994402,7908
1498995004,7929
1498995603,7993
1498996202,8068
1498996802,8138
1498997403,8124
1498998003,8189
1498998603,8231
1498999203,8282
1498999802,8350
1499000404,8448
1499001002,8460
1499001602,8506
1499002204,8658
1499002801,8693
1499003402,8752
1499004003,8900
1499004603,9053
1499005201,8993
1499005804,9241
1499006402,9195
1499007003,9179
1499007603,9227
1499008202,9364
1499008803,9394
1499009403,9360
1499010002,9491
1499010603,9358
1499011203,9356
1499011802,9339
1499012402,9349
1499013001,9463
1499013602,9582
1499014203,9311
1499014803,9351
1499015402,9380
1499016002,9453
1499016603,9504
1499017202,9438
1499017802,9551
1499018404,9747
1499019002,9729
1499019602,9785
1499020203,9782
1499020802,9681
1499021403,9606
1499022002,9651
1499022602,9507
1499023203,9526
1499023804,9705
1499024401,9712
1499025003,9699
1499025603,9651
1499026203,9636
1499026803,9581
1499027403,9631
1499028003,9734
1499028602,9663
1499029203,9662
1499029802,9514
1499030402,9558
1499031002,9444
1499031602,9487
1499032201,9357
1499032802,9347
1499033402,9248
1499034002,9145
1499034603,9218
1499035202,9214
1499035802,9144
1499036403,9216
1499037002,9061
1499037603,9099
1499038204,9132
1499038803,9094
1499039403,8963
1499040003,8995
1499040601,9088
1499041203,9032
1499041804,8857
1499042403,9124
1499043003,8979
1499043603,8972
1499044202,8974
1499044802,8843
1499045403,8780
1499046002,8730
1499046601,8812
1499047202,8692
1499047802,8747
1499048402,8597
1499049003,8557
1499049603,8495
1499050202,8450
1499050803,8425
1499051402,8452
1499052002,8484
1499052602,8401
1499053202,8404
1499053802,8326
1499054404,8284
1499055003,8272
1499055602,8263
1499056203,8230
1499056802,8184
1499057402,8177
1499058003,8121
1499058602,8138
1499059201,8162
1499059801,8228
1499060403,8067
1499061003,8008
1499061603,8027
1499062202,8030
1499062802,7975
1499063402,7932
1499064002,7931
1499064601,7922
