Timestamp,Duration(s)
1498927803,9435
1498928403,9456
1498929002,9502
1498929602,9474
1498930203,9572
1498930803,9523
1498931402,9573
1498932003,9602
1498932602,9552
1498933202,9511
1498933802,9557
1498934403,9445
1498935002,9535
1498935602,9523
1498936203,9489
1498936802,9490
1498937402,9450
1498938002,9524
1498938603,9512
1498939204,9488
1498939802,9462
1498940402,9457
1498941002,9355
1498941603,9392
1498942202,9226
1498942803,9182
1498943402,9134
1498944002,9171
1498944602,9096
1498945203,9003
1498945803,8919
1498946404,8847
1498947002,8793
1498947603,8780
1498948204,8796
1498948803,8781
1498949402,8768
1498950004,8753
1498950602,8700
1498951203,8718
1498951803,8728
1498952402,8681
1498953002,8683
1498953604,8693
1498954202,8639
1498954803,8628
1498955403,8663
1498956002,8663
1498956602,8638
1498957201,8586
1498957802,8593
1498958402,8610
1498959002,8635
1498959602,8578
1498960201,8544
1498960802,8481
1498961401,8431
1498962002,8442
1498962603,8435
1498963202,8374
1498963802,8294
1498964403,8262
1498965002,8247
1498965602,8214
1498966202,8192
1498966803,8177
1498967403,8159
1498968003,8140
1498968602,8152
1498969202,8137
1498969803,8114
1498970401,8123
1498971003,8137
1498971602,8099
1498972202,8122
1498972802,8142
1498973403,8114
1498974002,8092
1498974602,8095
1498975203,8128
1498975802,8158
1498976401,8168
1498977003,8142
1498977602,8093
1498978202,8089
1498978804,8081
1498979402,8047
1498980002,8017
1498980603,8024
1498981203,7897
1498981803,7877
1498982403,7894
1498983003,7829
1498983602,7945
1498984202,7928
1498984802,7938
1498985402,7957
1498986004,7919
1498986602,7786
1498987202,7796
1498987802,7807
1498988402,7917
1498989001,7789
1498989603,7817
1498990202,7820
1498990803,7824
1498991403,7815
1498992002,7793
1498992603,7764
1498993204,7804
1498993802,7846
1498994402,7864
1498995003,7896
1498995602,7921
1498996202,7935
1498996802,7945
1498997403,7987
1498998002,8039
1498998603,8112
1498999203,8191
1498999802,8347
1499000404,8464
1499001003,8439
1499001603,8622
1499002203,8724
1499002801,8716
1499003402,8781
1499004003,8854
1499004603,8920
1499005201,8956
1499005804,9035
1499006402,9101
1499007003,9165
1499007603,9101
1499008202,9211
1499008803,9175
1499009403,9201
1499010002,9166
1499010603,9306
1499011203,9381
1499011802,9463
1499012402,9594
1499013002,9598
1499013602,9581
1499014203,9541
1499014803,9578
1499015402,9613
1499016002,9608
1499016603,9654
1499017202,9621
1499017802,9701
1499018404,9698
1499019002,9758
1499019602,9714
1499020202,9819
1499020802,9809
1499021403,9707
1499022002,9622
1499022602,9618
1499023202,9601
1499023803,9549
1499024401,9467
1499025003,9454
1499025603,9370
1499026202,9373
1499026803,9341
1499027403,9358
1499028003,9350
1499028602,9374
1499029203,9352
1499029802,9346
1499030402,9269
1499031002,9241
1499031602,9222
1499032201,9290
1499032802,9234
1499033402,9286
1499034003,9232
1499034603,9127
1499035202,9168
1499035803,9130
1499036403,9051
1499037002,9058
1499037603,9013
1499038204,8881
1499038803,8848
1499039402,8709
1499040003,8782
1499040601,8872
1499041203,8895
1499041803,8965
1499042402,8834
1499043003,8753
1499043603,8751
1499044202,8777
1499044803,8792
1499045402,8566
1499046003,8380
1499046601,8230
1499047202,8219
1499047801,8201
1499048402,8183
1499049003,8212
1499049602,8224
1499050202,8173
1499050803,8106
1499051402,8102
1499052002,8107
1499052602,8135
1499053202,8150
1499053802,8168
