Timestamp,Duration(s)
1498927803,1116
1498928403,1266
1498929002,1189
1498929602,1103
1498930203,1183
1498930802,1467
1498931402,1391
1498932003,1190
1498932602,1305
1498933202,1249
1498933802,1256
1498934403,1227
1498935002,1316
1498935602,1318
1498936203,1282
1498936802,1294
1498937402,1371
1498938002,1293
1498938603,1296
1498939204,1349
1498939802,1453
1498940402,1453
1498941002,1460
1498941603,1331
1498942203,1304
1498942803,1210
1498943402,1242
1498944002,1221
1498944602,1292
1498945203,1087
1498945803,1132
1498946404,1174
1498947002,1033
1498947603,1044
1498948203,1024
1498948802,1171
1498949402,1188
1498950004,1090
1498950602,1135
1498951203,1075
1498951803,1059
1498952402,997
1498953002,922
1498953604,945
1498954202,970
1498954803,915
1498955403,925
1498956002,908
1498956602,936
1498957201,909
1498957802,867
1498958402,920
1498959002,862
1498959602,939
1498960202,975
1498960803,867
1498961401,870
1498962002,924
1498962603,855
1498963202,898
1498963803,923
1498964403,937
1498965002,1080
1498965602,983
1498966202,1077
1498966803,1020
1498967403,954
1498968003,838
1498968602,874
1498969202,889
1498969802,895
1498970401,835
1498971003,832
1498971602,851
1498972202,833
1498972801,801
1498973403,830
1498974002,821
1498974602,803
1498975203,838
1498975802,794
1498976401,790
1498977003,818
1498977602,917
1498978202,815
1498978804,787
1498979403,817
1498980002,820
1498980603,800
1498981203,798
1498981803,801
1498982402,825
1498983003,782
1498983602,762
1498984202,785
1498984803,770
1498985402,776
1498986004,754
1498986602,811
1498987203,764
1498987802,760
1498988402,778
1498989001,759
1498989603,759
1498990202,794
1498990803,753
1498991403,754
1498992002,769
1498992603,747
1498993204,730
1498993802,762
1498994402,777
1498995003,811
1498995603,812
1498996202,830
1498996802,796
1498997403,831
1498998002,776
1498998603,799
1498999203,757
1498999802,823
1499000404,801
1499001002,815
1499001602,795
1499002204,804
1499002801,816
1499003402,851
1499004003,821
1499004603,889
1499005201,831
1499005803,851
1499006402,873
1499007003,907
1499007602,949
1499008202,1006
1499008803,1034
1499009403,1110
1499010002,1151
1499010603,1095
1499011203,1034
1499011802,1039
1499012403,1083
1499013002,1310
1499013602,1152
1499014202,1248
1499014803,1108
1499015402,1084
1499016002,1182
1499016603,1146
1499017202,1157
1499017802,1097
1499018404,998
1499019002,1111
1499019602,1175
1499020203,1171
1499020802,1115
1499021403,1154
1499022002,1110
1499022602,1209
1499023202,1119
1499023803,1182
1499024402,1072
1499025003,1169
1499025604,1297
1499026202,1094
1499026803,1190
1499027404,1201
1499028002,1252
1499028602,1261
1499029203,1233
1499029802,1128
1499030402,1100
1499031003,1136
1499031602,1113
1499032202,1072
1499032802,1126
1499033402,1237
1499034002,1180
1499034603,1113
1499035202,1042
1499035803,998
1499036403,983
1499037002,1069
1499037603,1159
1499038204,1070
1499038803,1018
1499039402,1019
1499040003,989
1499040602,866
1499041203,938
1499041803,878
1499042403,880
1499043003,935
1499043603,993
1499044202,1012
1499044802,988
1499045403,1043
1499046002,991
1499046602,964
1499047202,961
1499047802,845
1499048402,859
1499049003,889
1499049602,799
1499050202,823
1499050804,821
1499051402,863
1499052002,844
1499052602,819
1499053202,855
1499053802,810
1499054404,784
1499055002,825
1499055602,805
1499056203,807
1499056802,795
1499057402,812
1499058003,828
1499058602,896
1499059201,767
1499059801,774
1499060403,769
1499061003,795
1499061603,782
1499062202,736
1499062802,770
1499063402,785
1499064003,810
1499064601,769
1499065204,840
1499065802,762
1499066402,754
1499067003,755
1499067603,743
1499068202,737
1499068803,775
1499069402,799
1499070002,784
1499070603,762
1499071202,777
1499071803,783
1499072404,759
1499073002,764
1499073602,772
1499074203,778
1499074802,792
1499075402,809
1499076003,844
1499076603,849
1499077202,869
1499077803,861
1499078402,876
1499079003,825
1499079603,904
1499080202,993
1499080803,947
1499081402,914
1499082003,929
1499082602,960
1499083204,1061
1499083803,1015
1499084402,873
1499085004,1001
1499085603,924
1499086203,925
1499086802,857
1499087402,976
1499088002,957
1499088603,947
1499089202,956
1499089803,927
1499090402,1067
1499091002,983
1499091603,999
1499092203,951
1499092802,943
1499093402,838
1499094001,880
1499094603,891
1499095201,832
1499095804,1102
1499096402,924
1499097003,927
1499097603,889
1499098202,884
1499098803,1029
1499099404,890
1499100002,892
1499100602,891
1499101203,892
1499101803,915
1499102402,966
1499103004,1091
1499103603,983
1499104203,1015
1499104802,899
1499105403,996
1499106002,1029
1499106602,984
1499107201,1057
1499107802,944
1499108403,992
1499109002,934
1499109602,1263
1499110204,1433
1499110803,1044
1499111403,1059
1499112004,981
1499112603,1093
1499113203,1023
1499113802,1003
1499114401,933
1499115002,924
1499115602,953
1499116201,983
1499116802,964
1499117403,885
1499118002,931
1499118603,930
1499119202,838
1499119801,930
1499120403,864
1499121002,869
1499121602,854
1499122202,1194
1499122802,796
1499123402,800
1499124002,827
1499124603,837
1499125203,800
1499125802,828
1499126402,826
1499127003,815
1499127602,856
1499128203,845
1499128803,841
1499129403,836
1499130003,818
1499130603,911
1499131202,987
1499131803,956
1499132403,951
1499133003,954
1499133601,911
1499134202,925
1499134803,955
1499135402,962
1499136003,919
1499136602,800
1499137204,806
1499137802,883
1499138402,817
1499139003,865
1499139603,818
1499140203,810
1499140803,820
1499141403,830
1499142002,850
1499142604,813
1499143202,872
1499143802,828
1499144403,804
1499145003,793
1499145603,789
1499146203,806
1499146803,845
1499147402,819
1499148004,784
1499148602,791
1499149202,762
1499149803,759
1499150403,771
1499151003,789
1499151604,776
1499152203,824
1499152803,776
1499153403,747
1499154003,738
1499154603,777
1499155203,759
1499155803,759
1499156402,751
1499157003,735
1499157601,754
1499158203,720
1499158804,710
1499159402,752
1499160002,762
1499160603,791
1499161202,747
1499161802,796
1499162403,823
1499163003,833
1499163602,813
1499164202,854
1499164802,820
1499165402,849
1499166003,871
1499166602,870
1499167202,870
1499167802,844
1499168402,873
